Power(kW),Voltage(V),Current(A),Charge(Ah)
-4.61E+00,2.95E+02,-1.28E+01,0.00E+00
-4.82E+00,3.12E+02,-1.27E+01,3.22E+00
-4.82E+00,3.25E+02,-1.20E+01,6.33E+00
-4.79E+00,3.36E+02,-1.14E+01,9.33E+00
-4.76E+00,3.45E+02,-1.14E+01,1.22E+01
-4.79E+00,3.53E+02,-1.09E+01,1.51E+01
-4.76E+00,3.60E+02,-1.09E+01,1.78E+01
-4.76E+00,3.66E+02,-1.09E+01,2.05E+01
-4.76E+00,3.72E+02,-1.04E+01,2.32E+01
-4.79E+00,3.77E+02,-1.03E+01,2.59E+01
-4.79E+00,3.80E+02,-9.98E+00,2.85E+01
-4.79E+00,3.83E+02,-9.98E+00,3.10E+01
-4.73E+00,3.86E+02,-1.01E+01,3.35E+01
-4.76E+00,3.91E+02,-9.80E+00,3.61E+01
-4.76E+00,3.92E+02,-9.71E+00,3.85E+01
-4.76E+00,3.95E+02,-9.89E+00,4.10E+01
-4.76E+00,3.99E+02,-9.62E+00,4.35E+01
-4.73E+00,4.01E+02,-9.43E+00,4.59E+01
-3.51E+00,4.01E+02,-6.78E+00,4.80E+01
-2.68E+00,4.03E+02,-4.21E+00,4.94E+01
-2.10E+00,4.03E+02,-3.02E+00,5.03E+01
-1.74E+00,4.03E+02,-1.83E+00,5.09E+01
-1.43E+00,4.05E+02,-1.10E+00,5.13E+01
-1.31E+00,4.04E+02,-9.16E-01,5.16E+01
-1.19E+00,4.03E+02,-6.41E-01,5.17E+01
-9.83E+00,3.18E+02,-2.78E+01,0.00E+00
-9.83E+00,3.39E+02,-2.61E+01,4.12E+00
-9.79E+00,3.51E+02,-2.49E+01,8.06E+00
-9.89E+00,3.62E+02,-2.42E+01,1.19E+01
-9.83E+00,3.70E+02,-2.35E+01,1.56E+01
-9.79E+00,3.78E+02,-2.31E+01,1.92E+01
-9.79E+00,3.83E+02,-2.28E+01,2.27E+01
-9.83E+00,3.89E+02,-2.23E+01,2.62E+01
-9.83E+00,3.92E+02,-2.21E+01,2.96E+01
-8.79E+00,3.97E+02,-1.94E+01,3.30E+01
-6.77E+00,3.98E+02,-1.48E+01,3.55E+01
-5.49E+00,3.99E+02,-1.14E+01,3.75E+01
-4.54E+00,4.01E+02,-9.25E+00,3.91E+01
-3.84E+00,4.02E+02,-7.51E+00,4.04E+01
-3.20E+00,4.02E+02,-5.95E+00,4.14E+01
-2.80E+00,4.03E+02,-4.58E+00,4.22E+01
-2.41E+00,4.04E+02,-3.57E+00,4.28E+01
-2.07E+00,4.04E+02,-3.02E+00,4.33E+01
-1.86E+00,4.04E+02,-2.29E+00,4.37E+01
-1.64E+00,4.03E+02,-1.74E+00,4.40E+01
-1.52E+00,4.04E+02,-1.37E+00,4.43E+01
-1.40E+00,4.03E+02,-1.28E+00,4.45E+01
-1.28E+00,4.04E+02,-7.33E-01,4.46E+01
-1.19E+00,4.03E+02,-9.16E-01,4.47E+01
-1.13E+00,4.05E+02,-4.58E-01,4.48E+01
-1.49E+01,3.03E+02,-4.52E+01,0.00E+00
-1.49E+01,3.35E+02,-4.09E+01,5.93E+00
-1.49E+01,3.54E+02,-3.87E+01,1.14E+01
-1.49E+01,3.67E+02,-3.70E+01,1.67E+01
-1.49E+01,3.78E+02,-3.62E+01,2.18E+01
-1.49E+01,3.86E+02,-3.52E+01,2.67E+01
-1.38E+01,3.92E+02,-3.21E+01,3.15E+01
-1.04E+01,3.95E+02,-2.34E+01,3.54E+01
-8.15E+00,3.98E+02,-1.79E+01,3.82E+01
-6.65E+00,3.99E+02,-1.43E+01,4.04E+01
-5.52E+00,3.99E+02,-1.16E+01,4.22E+01
-4.70E+00,4.01E+02,-9.71E+00,4.37E+01
-4.03E+00,4.02E+02,-7.69E+00,4.49E+01
-3.38E+00,4.03E+02,-6.14E+00,4.58E+01
-2.93E+00,4.03E+02,-5.22E+00,4.66E+01
-2.50E+00,4.03E+02,-3.94E+00,4.72E+01
-2.19E+00,4.03E+02,-3.21E+00,4.77E+01
-1.98E+00,4.03E+02,-2.66E+00,4.81E+01
-1.77E+00,4.04E+02,-1.83E+00,4.84E+01
-1.52E+00,4.03E+02,-1.56E+00,4.87E+01
-1.40E+00,4.04E+02,-1.47E+00,4.89E+01
-1.34E+00,4.05E+02,-9.16E-01,4.90E+01
-1.28E+00,4.04E+02,-8.24E-01,4.92E+01
-1.16E+00,4.04E+02,-4.58E-01,4.92E+01
-1.13E+00,4.05E+02,-5.50E-01,4.93E+01
-1.99E+01,3.02E+02,-6.14E+01,0.00E+00
-1.99E+01,3.42E+02,-5.42E+01,8.36E+00
-2.00E+01,3.65E+02,-5.07E+01,1.60E+01
-1.99E+01,3.80E+02,-4.84E+01,2.33E+01
-1.79E+01,3.90E+02,-4.23E+01,3.02E+01
-1.30E+01,3.93E+02,-3.00E+01,3.54E+01
-9.86E+00,3.97E+02,-2.22E+01,3.92E+01
-7.78E+00,3.98E+02,-1.70E+01,4.20E+01
-6.32E+00,3.99E+02,-1.36E+01,4.42E+01
-5.34E+00,3.99E+02,-1.11E+01,4.60E+01
-4.36E+00,4.02E+02,-8.88E+00,4.74E+01
-3.66E+00,4.01E+02,-7.05E+00,4.86E+01
-3.05E+00,4.02E+02,-5.22E+00,4.95E+01
-2.59E+00,4.03E+02,-4.12E+00,5.02E+01
-2.13E+00,4.03E+02,-3.21E+00,5.07E+01
-1.89E+00,4.04E+02,-2.29E+00,5.11E+01
-1.64E+00,4.03E+02,-1.92E+00,5.14E+01
-1.46E+00,4.04E+02,-1.56E+00,5.17E+01
-1.28E+00,4.04E+02,-8.24E-01,5.18E+01
-1.25E+00,4.04E+02,-7.33E-01,5.20E+01
-1.10E+00,4.03E+02,-6.41E-01,5.20E+01
-1.13E+00,4.05E+02,-2.75E-01,5.21E+01
-1.03E+00,4.04E+02,-3.67E-01,5.22E+01
-1.00E+00,4.05E+02,-1.83E-01,5.22E+01
-1.03E+00,4.05E+02,-2.29E-04,5.22E+01
5.10E+00,3.98E+02,1.61E+01,5.05E+01
5.19E+00,3.91E+02,1.62E+01,4.87E+01
5.16E+00,3.89E+02,1.65E+01,4.68E+01
5.22E+00,3.86E+02,1.65E+01,4.49E+01
5.22E+00,3.84E+02,1.67E+01,4.30E+01
5.22E+00,3.82E+02,1.68E+01,4.11E+01
5.31E+00,3.79E+02,1.69E+01,3.92E+01
5.19E+00,3.77E+02,1.70E+01,3.73E+01
5.22E+00,3.73E+02,1.68E+01,3.53E+01
5.25E+00,3.71E+02,1.71E+01,3.34E+01
5.22E+00,3.68E+02,1.75E+01,3.14E+01
5.25E+00,3.65E+02,1.75E+01,2.94E+01
5.22E+00,3.61E+02,1.76E+01,2.74E+01
5.22E+00,3.57E+02,1.79E+01,2.54E+01
5.22E+00,3.52E+02,1.81E+01,2.33E+01
5.25E+00,3.49E+02,1.84E+01,2.12E+01
5.25E+00,3.43E+02,1.86E+01,1.91E+01
5.19E+00,3.38E+02,1.89E+01,1.70E+01
5.22E+00,3.32E+02,1.92E+01,1.48E+01
5.19E+00,3.25E+02,1.93E+01,1.26E+01
5.25E+00,3.18E+02,2.00E+01,1.04E+01
5.25E+00,3.11E+02,2.02E+01,8.08E+00
5.25E+00,3.04E+02,2.09E+01,5.72E+00
5.25E+00,2.96E+02,2.15E+01,3.30E+00
3.00E+00,2.92E+02,1.35E+01,1.24E+00
1.03E+01,3.99E+02,2.95E+01,4.62E+01
1.04E+01,3.90E+02,3.03E+01,4.42E+01
1.04E+01,3.86E+02,3.05E+01,4.23E+01
1.03E+01,3.84E+02,3.07E+01,4.03E+01
1.04E+01,3.82E+02,3.06E+01,3.82E+01
1.03E+01,3.79E+02,3.11E+01,3.62E+01
1.03E+01,3.77E+02,3.12E+01,3.42E+01
1.03E+01,3.74E+02,3.15E+01,3.21E+01
1.03E+01,3.70E+02,3.18E+01,3.01E+01
1.03E+01,3.67E+02,3.21E+01,2.80E+01
1.03E+01,3.64E+02,3.22E+01,2.59E+01
1.03E+01,3.60E+02,3.26E+01,2.38E+01
1.03E+01,3.56E+02,3.30E+01,2.16E+01
1.04E+01,3.52E+02,3.35E+01,1.94E+01
1.03E+01,3.47E+02,3.41E+01,1.73E+01
1.04E+01,3.42E+02,3.42E+01,1.50E+01
1.03E+01,3.36E+02,3.47E+01,1.28E+01
1.03E+01,3.30E+02,3.56E+01,1.05E+01
1.03E+01,3.23E+02,3.60E+01,8.14E+00
1.03E+01,3.17E+02,3.68E+01,5.75E+00
8.06E+00,3.11E+02,3.00E+01,3.41E+00
4.37E+00,3.11E+02,1.72E+01,1.89E+00
2.08E+00,3.12E+02,9.71E+00,1.04E+00
9.50E-01,3.12E+02,5.95E+00,5.43E-01
3.70E-01,3.13E+02,4.12E+00,2.21E-01
1.52E+01,3.98E+02,4.31E+01,5.51E+01
1.54E+01,3.86E+02,4.45E+01,5.21E+01
1.54E+01,3.82E+02,4.51E+01,4.90E+01
1.54E+01,3.78E+02,4.54E+01,4.59E+01
1.54E+01,3.74E+02,4.60E+01,4.28E+01
1.54E+01,3.69E+02,4.63E+01,3.96E+01
1.54E+01,3.64E+02,4.71E+01,3.64E+01
1.54E+01,3.58E+02,4.77E+01,3.31E+01
1.54E+01,3.52E+02,4.86E+01,2.98E+01
1.53E+01,3.44E+02,4.95E+01,2.64E+01
1.54E+01,3.36E+02,5.08E+01,2.30E+01
1.54E+01,3.26E+02,5.22E+01,1.94E+01
1.54E+01,3.16E+02,5.42E+01,1.57E+01
1.54E+01,3.03E+02,5.64E+01,1.19E+01
9.74E+00,2.97E+02,3.73E+01,8.75E+00
6.44E+00,2.95E+02,2.55E+01,6.61E+00
4.40E+00,2.93E+02,1.87E+01,5.11E+00
3.15E+00,2.92E+02,1.40E+01,3.99E+00
2.32E+00,2.91E+02,1.10E+01,3.13E+00
1.74E+00,2.92E+02,9.07E+00,2.44E+00
1.32E+00,2.91E+02,7.60E+00,1.87E+00
1.04E+00,2.90E+02,6.50E+00,1.39E+00
7.67E-01,2.90E+02,5.77E+00,9.77E-01
5.84E-01,2.90E+02,4.85E+00,6.12E-01
4.31E-01,2.90E+02,4.40E+00,2.89E-01
2.01E+01,3.88E+02,5.81E+01,5.17E+01
2.04E+01,3.75E+02,6.03E+01,4.83E+01
2.04E+01,3.70E+02,6.13E+01,4.48E+01
2.04E+01,3.63E+02,6.23E+01,4.13E+01
2.05E+01,3.56E+02,6.32E+01,3.77E+01
2.04E+01,3.50E+02,6.46E+01,3.41E+01
2.04E+01,3.43E+02,6.59E+01,3.04E+01
2.04E+01,3.34E+02,6.76E+01,2.66E+01
2.05E+01,3.25E+02,6.94E+01,2.27E+01
2.05E+01,3.14E+02,7.17E+01,1.86E+01
1.79E+01,3.05E+02,6.47E+01,1.45E+01
1.28E+01,3.00E+02,4.74E+01,1.14E+01
9.28E+00,2.97E+02,3.58E+01,9.00E+00
6.87E+00,2.95E+02,2.73E+01,7.22E+00
5.19E+00,2.94E+02,2.12E+01,5.85E+00
3.94E+00,2.93E+02,1.68E+01,4.77E+00
3.03E+00,2.92E+02,1.37E+01,3.90E+00
2.42E+00,2.92E+02,1.14E+01,3.19E+00
1.90E+00,2.91E+02,9.71E+00,2.59E+00
1.56E+00,2.91E+02,8.33E+00,2.07E+00
1.26E+00,2.91E+02,7.51E+00,1.62E+00
1.01E+00,2.91E+02,6.41E+00,1.22E+00
8.28E-01,2.90E+02,5.95E+00,8.67E-01
6.75E-01,2.90E+02,5.40E+00,5.50E-01
5.23E-01,2.90E+02,4.76E+00,2.61E-01
